,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
91734,2021,25 anos,M,Parda,1,concluiu,10,Não respondeu,Pontes e Lacerda,MT,,,,,1,,,B,B,A,B,4.0,D,C,D,B,A,B,D,B,B
92737,2021,Entre 26 e 30 anos,M,Branca,1,concluiu,10,Não respondeu,Alvorada do Norte,GO,,,,,1,,,C,E,B,B,1.0,A,B,B,A,A,B,B,B,B
92768,2021,18 anos,F,Branca,1,cursando,0,Pública,Manaus,AM,,,,,1,,,G,D,F,B,4.0,B,B,B,A,A,B,D,A,B
93469,2021,20 anos,F,Parda,1,concluiu,3,Não respondeu,Serra Talhada,PE,,,,,1,,,E,B,C,B,4.0,C,B,C,A,A,B,C,A,B
93535,2021,17 anos,F,Parda,1,cursando,0,Pública,Campo Mourão,PR,,,,,0,,,E,E,D,D,4.0,D,B,C,B,B,B,D,A,B
94215,2021,18 anos,F,Preta,1,concluiu,1,Não respondeu,Xinguara,PA,565.5,,,658.0,0,,,F,G,D,D,7.0,G,C,D,B,B,B,E,B,B
96373,2021,17 anos,M,Parda,1,cursando,0,Privada,João Pessoa,PB,,,,,0,,,H,E,F,D,3.0,B,B,C,A,A,B,C,B,A
99048,2021,17 anos,F,Branca,2,cursando,0,Pública,Senador Pompeu,CE,,,,,1,,,F,G,D,D,4.0,F,C,C,A,B,B,D,B,B
103045,2021,Menor de 17 anos,M,Parda,1,cursando,0,Não respondeu,Jardim,CE,,,,,0,,,E,E,A,A,3.0,D,B,C,A,B,B,B,B,B
103583,2021,20 anos,F,Parda,1,concluiu,2,Não respondeu,Paulistana,PI,,,,,0,,,A,B,B,B,3.0,B,B,B,A,B,B,C,A,B
106728,2021,18 anos,F,Branca,1,cursando,0,Pública,Sobral,CE,,,,,0,,,C,E,D,D,3.0,G,D,C,A,A,B,C,A,B
107089,2021,Menor de 17 anos,F,Branca,1,não concluiu,0,Não respondeu,Cuiabá,MT,,,,,0,,,G,G,E,F,4.0,O,C,D,B,A,B,E,D,B
107438,2021,17 anos,F,Branca,1,cursando,0,Pública,São Mateus,ES,,,,,0,,,E,G,B,D,6.0,B,B,D,B,B,B,D,B,B
108207,2021,Entre 36 e 40 anos,M,Parda,1,concluiu,15,Não respondeu,Rio de Janeiro,RJ,,,,,0,,,E,E,C,B,4.0,D,C,C,A,B,B,E,E,B
108592,2021,17 anos,M,Branca,1,cursando,0,Pública,Fortaleza,CE,,,,,0,,,C,E,D,B,4.0,D,B,C,B,B,B,E,C,B
108650,2021,19 anos,F,Branca,1,concluiu,2,Não respondeu,Porto Alegre,RS,,,,,0,,,E,G,B,B,4.0,I,D,D,B,B,B,E,C,B
108823,2021,18 anos,F,Branca,1,concluiu,1,Não respondeu,Janaúba,MG,,,,,1,,,B,D,A,A,4.0,B,B,C,A,B,B,C,A,B
109623,2021,17 anos,F,Parda,1,cursando,0,Pública,Beberibe,CE,,,,,1,,,C,B,B,A,4.0,B,B,C,A,A,B,B,A,A
110891,2021,17 anos,F,Branca,1,cursando,0,Pública,Cerro Largo,RS,,,,,0,,,C,G,B,D,4.0,G,D,D,B,A,B,E,C,B
111266,2021,18 anos,F,Parda,1,concluiu,1,Não respondeu,Oriximiná,PA,,,,,1,,,B,E,F,F,5.0,B,B,D,A,B,B,C,A,A
111351,2021,18 anos,M,Branca,1,cursando,0,Pública,Recife,PE,,,,,0,,,E,D,B,B,4.0,B,C,D,B,A,B,D,C,B
111817,2021,Menor de 17 anos,M,Parda,1,cursando,0,Não respondeu,Teixeira de Freitas,BA,374.3,,,461.7,1,,,G,E,D,B,3.0,D,C,C,B,A,B,C,B,B
111928,2021,17 anos,M,Preta,1,cursando,0,Pública,Maracanaú,CE,,,,,1,,,B,B,B,B,3.0,B,B,C,A,A,B,C,A,B
111953,2021,18 anos,M,Parda,1,cursando,0,Pública,Tutóia,MA,,,,,0,,,A,E,A,A,11.0,C,B,C,A,B,B,C,A,A
112616,2021,20 anos,F,Parda,2,concluiu,1,Não respondeu,Duque de Caxias,RJ,,,,,1,,,A,D,D,D,4.0,B,C,D,B,A,B,E,A,B
112970,2021,20 anos,F,Branca,1,concluiu,2,Não respondeu,Contagem,MG,417.2,,,432.2,0,,,C,E,A,A,4.0,C,B,C,A,A,B,E,B,B
113714,2021,21 anos,F,Branca,1,concluiu,4,Não respondeu,Santos,SP,,,,,0,,,G,G,D,E,3.0,M,D,C,B,A,B,E,C,B
114842,2021,17 anos,F,Parda,1,cursando,0,Pública,Goiás,GO,435.8,,,452.0,0,,,E,E,C,B,3.0,D,B,D,A,B,B,D,A,B
115129,2021,17 anos,F,Parda,1,cursando,0,Pública,Quiterianópolis,CE,,,,,1,,,H,E,F,D,4.0,C,B,C,A,B,B,D,B,B
115819,2021,18 anos,M,Parda,1,cursando,0,Pública,Fortaleza,CE,544.2,,,606.9,1,,,B,B,C,C,4.0,C,B,C,A,B,B,C,A,B
116800,2021,18 anos,F,Parda,1,cursando,0,Pública,Conceição do Mato Dentro,MG,,,,,0,,,H,G,F,D,2.0,C,B,C,A,A,B,C,A,B
116940,2021,18 anos,M,Preta,1,cursando,0,Pública,Catanduva,SP,,,,,0,,,F,G,E,D,4.0,O,C,C,B,D,C,D,E,B
119211,2021,17 anos,M,Parda,1,cursando,0,Privada,Recife,PE,,,,,0,,,F,E,B,F,5.0,F,B,C,B,A,B,E,C,B
119649,2021,18 anos,F,Branca,1,cursando,0,Pública,Caruaru,PE,,,,,0,,,F,G,D,D,3.0,H,D,D,D,A,B,D,C,B
119823,2021,18 anos,F,Branca,1,cursando,0,Pública,Rio Verde,GO,,,,,0,,,C,E,C,B,3.0,D,B,D,B,C,B,D,A,B
120387,2021,17 anos,F,Branca,1,cursando,0,Pública,Limoeiro do Norte,CE,,,,,0,,,E,E,D,B,6.0,D,B,C,B,A,B,E,B,B
120413,2021,18 anos,M,Parda,1,cursando,0,Pública,Arujá,SP,,,,,0,,,E,F,C,D,3.0,D,B,C,B,A,B,D,A,B
120680,2021,23 anos,F,Branca,1,concluiu,0,Não respondeu,Diadema,SP,,,,,0,,,E,E,B,B,1.0,B,B,B,A,A,B,A,B,A
