,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
37817,2020,17 anos,F,Branca,1,cursando,Pública,Patos,PB,,555.6,601.0,,1,1.0,840.0,C,F,F,D,2.0,J,C,C,B,A,B,C,B,B
39067,2020,Entre 26 e 30 anos,M,Não declarado,1,concluiu,Não respondeu,Recife,PE,,380.8,440.9,,1,1.0,320.0,E,E,F,B,2.0,A,B,A,A,A,B,C,A,B
40455,2020,20 anos,F,Branca,1,concluiu,Não respondeu,Viçosa,MG,,415.3,491.0,,1,1.0,500.0,E,D,B,B,4.0,B,B,C,B,A,B,D,B,B
46256,2020,24 anos,M,Branca,1,concluiu,Não respondeu,Igarassu,PE,,462.1,535.8,,1,1.0,280.0,B,C,F,D,5.0,B,B,C,A,A,B,C,A,B
50184,2020,17 anos,F,Parda,1,cursando,Pública,Pau dos Ferros,RN,,470.6,516.5,,1,1.0,440.0,C,C,A,B,5.0,D,B,C,B,A,B,E,A,B
56381,2020,Entre 26 e 30 anos,F,Branca,1,concluiu,Não respondeu,Santa Cruz do Capibaribe,PE,,520.4,543.4,,1,1.0,580.0,B,F,F,D,5.0,C,B,D,A,A,B,B,A,B
58125,2020,17 anos,F,Parda,1,cursando,Pública,Aracaju,SE,,451.4,531.6,,0,1.0,640.0,,,,,,,,,,,,,,
60904,2020,Entre 26 e 30 anos,F,Preta,1,concluiu,Não respondeu,Campina Grande,PB,,523.6,490.8,,1,1.0,520.0,B,B,A,A,1.0,B,B,B,A,A,B,B,B,B
61224,2020,Entre 26 e 30 anos,F,Branca,1,concluiu,Não respondeu,Santos,SP,,0.0,370.2,,0,1.0,280.0,,,,,,,,,,,,,,
65698,2020,19 anos,F,Parda,1,concluiu,Não respondeu,Rio Branco,AC,,502.4,399.7,,1,1.0,560.0,C,B,F,F,5.0,A,B,C,A,A,B,D,A,A
67642,2020,17 anos,F,Branca,1,cursando,Pública,Cianorte,PR,,598.1,574.4,,0,1.0,820.0,F,D,D,B,2.0,D,D,E,A,B,B,C,B,B
74180,2020,19 anos,F,Branca,1,concluiu,Não respondeu,Sítio Novo do Tocantins,TO,,511.4,502.9,,1,1.0,720.0,C,C,C,F,3.0,A,B,C,B,A,B,D,A,B
77530,2020,17 anos,F,Branca,1,cursando,Privada,Fortaleza,CE,,777.9,647.6,,0,1.0,900.0,G,G,D,D,4.0,L,E,D,B,A,C,E,C,B
90183,2020,17 anos,M,Preta,1,cursando,Pública,Ribeirão das Neves,MG,,594.5,607.0,,0,1.0,800.0,E,E,D,D,5.0,D,B,D,A,A,B,E,A,B
94139,2020,17 anos,F,Parda,1,cursando,Não respondeu,Porteirinha,MG,,490.7,543.5,,0,1.0,600.0,B,E,A,B,3.0,C,B,C,A,B,B,D,A,A
98268,2020,23 anos,F,Preta,1,concluiu,Não respondeu,São Gonçalo,RJ,,473.9,537.1,,1,1.0,360.0,D,C,C,B,5.0,D,B,C,A,A,B,D,A,B
99016,2020,17 anos,F,Indígena,1,cursando,Não respondeu,Teresópolis,RJ,,616.1,558.6,,1,1.0,640.0,B,D,B,B,5.0,E,D,E,A,A,B,E,A,B
104551,2020,Entre 31 e 35 anos,F,Parda,1,concluiu,Não respondeu,Montes Claros,MG,,547.5,561.0,,1,1.0,540.0,,,,,,,,,,,,,,
106270,2020,21 anos,M,Branca,1,concluiu,Não respondeu,Contagem,MG,,568.4,546.2,,1,1.0,640.0,,,,,,,,,,,,,,
109217,2020,17 anos,F,Branca,1,cursando,Pública,São José dos Campos,SP,,585.0,597.8,,0,1.0,540.0,D,B,B,B,6.0,E,B,D,B,A,B,D,B,B
115692,2020,17 anos,F,Branca,1,cursando,Privada,Curitiba,PR,,627.5,627.8,,0,1.0,660.0,,,,,,,,,,,,,,
119968,2020,17 anos,M,Parda,1,cursando,Pública,Salgueiro,PE,,500.2,568.8,,0,1.0,520.0,C,E,D,F,2.0,B,B,C,B,A,B,C,B,B
122839,2020,18 anos,M,Branca,1,cursando,Não respondeu,Barra do Garças,MT,,604.4,620.8,,0,1.0,440.0,E,E,C,B,2.0,B,B,B,A,A,B,C,B,B
123947,2020,Entre 31 e 35 anos,F,Preta,1,cursando,Pública,Mossoró,RN,,436.6,457.9,,1,1.0,560.0,E,A,B,B,5.0,B,B,C,A,A,B,C,A,B
125783,2020,Entre 26 e 30 anos,F,Parda,1,concluiu,Não respondeu,Mogi das Cruzes,SP,,537.2,586.4,,1,1.0,300.0,B,B,A,B,2.0,C,B,C,A,A,B,B,B,B
126149,2020,18 anos,M,Parda,1,concluiu,Não respondeu,São Paulo,SP,,627.3,610.4,,0,1.0,640.0,F,F,E,D,2.0,K,C,C,B,A,B,C,C,B
126500,2020,18 anos,F,Branca,1,concluiu,Não respondeu,Realeza,PR,,545.6,554.9,,0,1.0,740.0,C,E,F,B,3.0,B,B,C,A,A,B,C,A,A
128398,2020,17 anos,M,Branca,1,cursando,Pública,Natal,RN,,601.5,555.7,,1,1.0,760.0,G,F,D,D,5.0,C,B,C,A,B,B,E,B,B
129118,2020,Menor de 17 anos,F,Parda,1,cursando,Não respondeu,Porto Franco,MA,,468.0,477.9,,0,1.0,560.0,A,B,A,B,3.0,B,B,C,A,A,B,B,A,B
141970,2020,21 anos,F,Branca,1,concluiu,Não respondeu,Rio de Janeiro,RJ,,362.6,407.8,,1,4.0,0.0,,,,,,,,,,,,,,
143290,2020,Entre 26 e 30 anos,F,Amarela,1,concluiu,Não respondeu,Salgueiro,PE,,579.2,583.7,,1,1.0,600.0,C,E,F,B,7.0,B,B,C,A,A,B,D,A,B
143408,2020,17 anos,F,Indígena,1,cursando,Pública,Belo Horizonte,MG,,393.5,420.9,,1,1.0,520.0,C,C,D,F,5.0,B,B,C,B,A,B,C,A,B
151332,2020,17 anos,F,Branca,1,cursando,Pública,Rio de Janeiro,RJ,,428.8,524.2,,1,1.0,740.0,E,D,D,B,4.0,F,B,D,B,A,B,E,C,B
175224,2020,19 anos,M,Parda,1,concluiu,Não respondeu,Belém,PA,,539.8,551.6,,1,1.0,580.0,H,E,B,F,4.0,B,B,C,A,A,B,C,B,B
176149,2020,Entre 31 e 35 anos,M,Branca,1,concluiu,Não respondeu,Bambuí,MG,,414.0,378.6,,0,1.0,440.0,B,B,A,A,4.0,D,B,D,C,A,B,D,B,B
177076,2020,18 anos,F,Branca,1,concluiu,Não respondeu,Lábrea,AM,,476.1,517.6,,1,3.0,0.0,H,H,F,B,2.0,B,B,E,A,A,B,D,A,A
178008,2020,17 anos,F,Parda,1,cursando,Pública,Caucaia,CE,,500.3,540.6,,1,1.0,380.0,C,C,B,F,2.0,A,B,B,A,A,B,C,A,B
190254,2020,19 anos,M,Parda,1,cursando,Pública,Porto Velho,RO,,539.7,563.3,,1,1.0,620.0,H,C,B,C,6.0,F,C,E,B,A,B,E,B,B
194826,2020,Entre 36 e 40 anos,F,Branca,1,cursando,Não respondeu,Xinguara,PA,,546.7,523.6,,0,1.0,520.0,A,D,A,A,3.0,D,B,C,B,B,B,D,A,B
196483,2020,17 anos,F,Parda,1,cursando,Pública,Pinheiro,MA,,396.4,545.1,,1,1.0,360.0,C,E,A,A,2.0,B,B,C,A,A,B,B,A,A
197813,2020,20 anos,F,Parda,1,cursando,Pública,Mutuípe,BA,,,,,1,,,C,C,A,B,5.0,B,B,C,A,A,B,D,A,A
198757,2020,Entre 26 e 30 anos,M,Parda,1,concluiu,Não respondeu,Maceió,AL,,430.4,527.8,,1,1.0,500.0,A,A,C,B,4.0,C,B,D,A,B,B,E,A,B
